object_id,asset_name,asset_type
11636,S11636,"SNOW SALT SPREADER"
11637,S11637,"SNOW SALT SPREADER"
11638,S11638,"SNOW SALT SPREADER"
11639,S11639,"SNOW SALT SPREADER"
11640,S11640,"SNOW SALT SPREADER"
11641,S11641,"SNOW SALT SPREADER"
11642,S11642,"SNOW SALT SPREADER"
11643,S11643,"SNOW SALT SPREADER"
11644,S11644,"SNOW SALT SPREADER"
11645,S11645,"SNOW SALT SPREADER"
11646,S11646,"SNOW SALT SPREADER"
11647,S11647,"SNOW SALT SPREADER"
11648,S11648,"SNOW SALT SPREADER"
11649,S11649,"SNOW SALT SPREADER"
11650,S11650,"SNOW SALT SPREADER"
11651,S11651,"SNOW SALT SPREADER"
11653,S11653,"SNOW SALT SPREADER"
11654,S11654,"SNOW SALT SPREADER"
11655,S11655,"SNOW SALT SPREADER"
11656,S11656,"SNOW SALT SPREADER"
11657,S11657,"SNOW SALT SPREADER"
11658,S11658,"SNOW SALT SPREADER"
11659,S11659,"SNOW SALT SPREADER"
11660,S11660,"SNOW SALT SPREADER"
11661,S11661,"SNOW SALT SPREADER"
11662,S11662,"SNOW SALT SPREADER"
11663,S11663,"SNOW SALT SPREADER"
11664,S11664,"SNOW SALT SPREADER"
11667,S11667,"SNOW SALT SPREADER"
11668,S11668,"SNOW SALT SPREADER"
11669,S11669,"SNOW SALT SPREADER"
11670,S11670,"SNOW SALT SPREADER"
11671,S11671,"SNOW SALT SPREADER"
11672,S11672,"SNOW SALT SPREADER"
11673,S11673,"SNOW SALT SPREADER"
11674,S11674,"SNOW SALT SPREADER"
11675,S11675,"SNOW SALT SPREADER"
11676,S11676,"SNOW SALT SPREADER"
11677,S11677,"SNOW SALT SPREADER"
11678,S11678,"SNOW SALT SPREADER"
11679,S11679,"SNOW SALT SPREADER"
11681,S11681,"SNOW SALT SPREADER"
11682,S11682,"SNOW SALT SPREADER"
11684,S11684,"SNOW SALT SPREADER"
11685,S11685,"SNOW SALT SPREADER"
